小区名,地址,新房类型,建筑面积,每平方价格
百里奚新城,卧龙区,住宅,建筑面积：88.88-117.84㎡,9243
长江新世界,宛城区,商住,建筑面积：55.6-64.66㎡,23000
碧桂园南都·翡翠山,高新区,住宅,建筑面积：117-267㎡,8000
铂金时代,卧龙区,住宅,建筑面积：49-88㎡,6000
楚汉汇景国际,卧龙区,住宅,建筑面积：88.56-126.81㎡,9080
南阳华耀城,宛城区,商住,建筑面积：5600㎡,7000
三杰盛世城,卧龙区,住宅,建筑面积：94-107㎡,8000
名矗山水中央,宛城区,住宅,建筑面积：44.63-129.12㎡,10075
经纬国际•蚂蚁公寓,卧龙区,住宅,建筑面积：55.75-89㎡,7500
恒方广场,宛城区,住宅,建筑面积：54-64㎡,5500
剑桥郡,宛城区,住宅,建筑面积：139000㎡,6480
海昌东城一品,宛城区,住宅,建筑面积：212512㎡,5300
三锦国际,宛城区,住宅,建筑面积：93000㎡,10197
南都秋实苑,卧龙区,住宅,建筑面积：350000㎡,5600
光彩工业博览城,卧龙区,住宅,建筑面积：1200000㎡,4500
天麒家园,高新区,商住,建筑面积：130000㎡,4700
瑞金福邸,宛城区,住宅,建筑面积：120000㎡,4000
高德东风城,高新区,住宅,建筑面积：172357㎡,8550
鑫汇颐景苑,新野,临街店铺,建筑面积：200000㎡,5072
镇平建业春天里,镇平,住宅,建筑面积：115-144㎡,5300
万政·大帝苑,高新区,商住,建筑面积：84.9-131.83㎡,11000
社旗恒大御府,社旗,住宅,建筑面积：104.53-130.19㎡,6500
三川御府,宛城区,住宅,建筑面积：130-160㎡,11600
方城建业·森林半岛,方城,住宅,建筑面积：118.65-143.09㎡,5500
状元城,社旗,住宅,建筑面积：128-154㎡,4000
长安玉龙苑,宛城区,住宅,建筑面积：58.38-300㎡,11600
阳光城·丽景公园,卧龙区,住宅,建筑面积：88-125㎡,8992
财富新城•财富公馆,西峡,住宅,建筑面积：140-248.02㎡,5500
建业幸福里,宛城区,住宅,建筑面积：135-139㎡,8600
春泽里,镇平,住宅,建筑面积：115-133㎡,4650
玖门新城,社旗,住宅,建筑面积：93.6-118.58㎡,4257
东滨华苑,邓州,住宅,建筑面积：128.36-128.88㎡,5600
儒林文化苑,新野,住宅,建筑面积：114.74-140.26㎡,4300
建发·翰泽苑,社旗,住宅,建筑面积：123.44-163.38㎡,4600
金开电商创业园,社旗,商住,建筑面积：96.5-129.5㎡,4600
公园道一号,社旗,住宅,建筑面积：115-154㎡,4300
鑫苑名座,宛城区,商住,建筑面积：108㎡,34800
金泰花园,唐河,住宅,建筑面积：91.71-129.21㎡,5800
半岛帝城,邓州,住宅,建筑面积：135.4-200㎡,5500
中基新天地,方城,住宅,建筑面积：113.96-143.68㎡,4800
永安曼福特青年公寓,宛城区,商住,建筑面积：41.59㎡,8600
公园首府,方城,住宅,建筑面积：120.58-120.58㎡,4979
秦晋花苑,唐河,住宅,建筑面积：121.01-142.2㎡,6200
生力北泉雅园,唐河,住宅,建筑面积：1111110㎡,6267
镇平财富世家,镇平,住宅,建筑面积：243914㎡,3800
财富家天下,邓州,临街店铺,建筑面积：190762㎡,6900
镇平财富世家商铺,镇平,临街店铺,建筑面积：243914㎡,3861
万事达生活广场,宛城区,临街店铺,建筑面积：27000㎡,15000
花洲大观园,邓州,住宅,建筑面积：119.99-126㎡,5100
御景华城,镇平,住宅,建筑面积：89.9-150㎡,4400
卓越凯悦国际,卧龙区,商住,建筑面积：54-82.44㎡,8000
恒大御景湾,卧龙区,住宅,建筑面积：84.3-127.07㎡,8500
钓鱼台壹号,宛城区,住宅,建筑面积：86-144㎡,10000
儒林商都,宛城区,住宅,建筑面积：49-110㎡,6100
南阳恒大帝景,宛城区,住宅,建筑面积：52-144㎡,9400
华美国际,镇平,住宅,建筑面积：103.56-144.5㎡,4200
绿都悦府,卧龙区,别墅,建筑面积：101-152㎡,13000
美盛白河湾,宛城区,别墅,建筑面积：290-390㎡,10422
建业壹号城邦,卧龙区,住宅,建筑面积：43-148㎡,8200
天富生活广场,南召,住宅,建筑面积：120.18-138.87㎡,2850
长安公馆,宛城区,住宅,建筑面积：55.17-128.79㎡,9500
三川御锦台,宛城区,住宅,建筑面积：100-285㎡,11000
四季花城,高新区,住宅,建筑面积：79.12-137.89㎡,8000
冠华名门国际,卧龙区,住宅,建筑面积：58.53-111.4㎡,5600
世纪花园,邓州,住宅,建筑面积：125.34-125.6㎡,4100
万事达·生活广场,高新区,住宅,建筑面积：75.26-117.79㎡,8450
翰林华府,卧龙区,住宅,建筑面积：56.69-120㎡,5050
先锋橡树湾,卧龙区,商住,建筑面积：87.33-124.34㎡,26000
万达国际,宛城区,住宅,建筑面积：96.5-97㎡,11000
博伟彩虹城,宛城区,住宅,建筑面积：700000㎡,5500
金汇城,卧龙区,住宅,建筑面积：600000㎡,6400
港岛玫瑰园,卧龙区,住宅,建筑面积：230000㎡,4300
艺博华城国际,卧龙区,住宅,建筑面积：500000㎡,9243
万正·汉府,宛城区,住宅,建筑面积：273127㎡,9974
万正·世家,宛城区,住宅,建筑面积：100000㎡,9869
舒心园,卧龙区,住宅,建筑面积：100000㎡,4000
